16CD452B;SMARTCITY:WIFI;487;-10;-16;1031;0.0;0.0;0.0;24;1417818304118;655.24;33.47;70.08;50.0;
16CD452B;SMARTCITY:WIFI;488;-7;-17;1022;0.0;0.0;0.0;24;1417818337068;655.24;33.63;70.08;54.0;
1545E3B4;SmartEnvironment:WIFI;0;11;-13;1088;0.0;0.0;0.0;83;1417818350139;0.62;37.84;1.64;1.18;
16CD452B;SMARTCITY:WIFI;494;-16;-17;1028;0.0;0.0;0.0;24;1417818541162;655.24;33.15;69.99;59.54;
1545E3B4;SmartEnvironment:WIFI;0;11;-13;1090;0.0;0.0;0.0;83;1417818571980;0.62;37.84;1.3;1.2;
16CD452B;SMARTCITY:WIFI;495;-5;-16;1031;0.0;0.0;0.0;24;1417818574071;655.24;33.0;70.08;50.0;
16CD452B;SMARTCITY:WIFI;496;-8;-11;1029;0.0;0.0;0.0;24;1417818607103;655.24;33.47;70.08;50.0;
16CD452B;SMARTCITY:WIFI;497;-10;-16;1029;0.0;0.0;0.0;24;1417818640076;655.24;33.63;70.08;50.0;
16CD452B;SMARTCITY:WIFI;498;-9;-18;1025;0.0;0.0;0.0;24;1417818673146;655.24;33.47;69.99;50.0;
1545E3B4;SmartEnvironment:WIFI;0;9;-26;1098;0.0;0.0;0.0;83;1417818683435;0.63;38.18;1.37;1.19;
16CD452B;SMARTCITY:WIFI;499;-5;-18;1026;0.0;0.0;0.0;24;1417818706119;655.24;33.79;69.99;50.0;
16CD452B;SMARTCITY:WIFI;500;-12;-19;1028;0.0;0.0;0.0;24;1417818739089;655.24;33.47;69.89;52.0;
16CD452B;SMARTCITY:WIFI;501;-6;-17;1026;0.0;0.0;0.0;24;1417818772062;655.24;33.15;69.99;58.18;
1545E3B4;SmartEnvironment:WIFI;0;10;-12;1086;0.0;0.0;0.0;83;1417818793923;0.63;38.01;1.37;1.2;
16CD452B;SMARTCITY:WIFI;502;-669;-317;739;0.0;0.0;0.0;24;1417818805137;201.61;33.63;75.65;67.83;
16CD452B;SMARTCITY:WIFI;503;-807;-363;506;0.0;0.0;0.0;21;1417818840876;192.54;36.78;77.12;71.25;
16CD452B;SMARTCITY:WIFI;504;-436;-757;415;0.0;0.0;0.0;21;1417818874098;254.03;35.84;75.65;70.83;
16CD452B;SMARTCITY:WIFI;505;-9;-27;1025;0.0;0.0;0.0;21;1417818907129;29.23;35.36;74.48;67.7;
16CD452B;SMARTCITY:WIFI;506;-7;-28;1026;0.0;0.0;0.0;21;1417818940045;29.23;34.73;74.38;50.0;
16CD452B;SMARTCITY:WIFI;507;-6;-23;1025;0.0;0.0;0.0;21;1417818973073;29.23;34.26;74.38;54.0;
16CD452B;SMARTCITY:WIFI;508;-8;-31;1028;0.0;0.0;0.0;21;1417819006143;29.23;34.1;73.99;64.21;
16CD452B;SMARTCITY:WIFI;509;-7;-24;1025;0.0;0.0;0.0;21;1417819039118;30.24;34.26;74.48;57.27;
16CD452B;SMARTCITY:WIFI;510;-6;-26;1026;0.0;0.0;0.0;21;1417819072088;29.23;34.42;74.29;50.0;
1545E3B4;SmartEnvironment:WIFI;0;10;-27;1089;0.0;0.0;0.0;83;1417819093395;0.65;38.18;1.47;1.23;
16CD452B;SMARTCITY:WIFI;511;-11;-22;1033;0.0;0.0;0.0;21;1417819107825;656.25;34.1;74.19;57.27;
16CD452B;SMARTCITY:WIFI;512;-7;-28;1027;0.0;0.0;0.0;21;1417819141111;29.23;33.94;74.09;53.0;
16CD452B;SMARTCITY:WIFI;513;-10;-33;1021;0.0;0.0;0.0;21;1417819176845;29.23;33.79;74.19;51.0;
1545E3B4;SmartEnvironment:WIFI;0;12;-11;1091;0.0;0.0;0.0;83;1417819204392;0.64;38.88;1.34;1.21;
16CD452B;SMARTCITY:WIFI;514;-7;-23;1041;0.0;0.0;0.0;21;1417819210123;656.25;33.94;73.99;50.0;
16CD452B;SMARTCITY:WIFI;515;-2;-27;1033;0.0;0.0;0.0;21;1417819243097;656.25;34.26;73.99;60.31;
16CD452B;SMARTCITY:WIFI;516;-11;-26;1031;0.0;0.0;0.0;21;1417819276008;656.25;33.63;74.29;51.0;
